id,NAME_1,HASC_1,ISO_2
,Karachay-Cherkess,RU.KC,KC
,Karelia,RU.KI,KR
,Kemerovo,RU.KE,KEM
,Khabarovsk,RU.KH,KHA
,Khakass,RU.KK,KK
,Khanty-Mansiy,RU.KM,KHM
,Adygey,RU.AD,AD
,Altay,RU.AL,ALT
,Amur,RU.AM,AMU
,Arkhangel'sk,RU.AR,ARK
,Astrakhan',RU.AS,AST
,Bashkortostan,RU.BK,BA
,Belgorod,RU.BL,BEL
,Bryansk,RU.BR,BRY
,Buryat,RU.BU,BU
,Chechnya,RU.CN,CE
,Chelyabinsk,RU.CL,CHE
,Chukot,RU.CK,CHU
,Chuvash,RU.CV,CU
,Saint Petersburg City,RU.SP,SPE
,Dagestan,RU.DA,DA
,Gorno-Altay,RU.GA,AL
,Ingush,RU.IN,IN
,Ivanovo,RU.IV,IVA
,Kabardin-Balkar,RU.KB,KB
,Kaliningrad,RU.KN,KGD
,Kalmyk,RU.KL,KL
,Kaluga,RU.KG,KLU
,Kirov,RU.KV,KIR
,Komi,RU.KO,KO
,Kostroma,RU.KT,KOS
,Krasnodar,RU.KD,KDA
,Kurgan,RU.KU,KGN
,Kursk,RU.KS,KRS
,Leningrad,RU.LN,LEN
,Lipetsk,RU.LP,LIP
,Magadan,RU.MG,MAG
,Mariy-El,RU.ME,ME
,Mordovia,RU.MR,MO
,Moskva,RU.MS,MOS
,Murmansk,RU.MM,MUR
,Nenets,RU.NN,NEN
,Nizhegorod,RU.NZ,NIZ
,North Ossetia,RU.NO,SE
,Novgorod,RU.NG,NGR
,Novosibirsk,RU.NS,NVS
,Omsk,RU.OM,OMS
,Orel,RU.OL,ORL
,Orenburg,RU.OB,ORE
,Penza,RU.PZ,PNZ
,Primor'ye,RU.PR,PRI
,Pskov,RU.PS,PSK
,Rostov,RU.RO,ROS
,Ryazan',RU.RZ,RYA
,Sakha,RU.SK,SA
,Sakhalin,RU.SL,SAK
,Samara,RU.SA,SAM
,Saratov,RU.SR,SAR
,Smolensk,RU.SM,SMO
,Stavropol',RU.ST,STA
,Sverdlovsk,RU.SV,SVE
,Tambov,RU.TB,TAM
,Tatarstan,RU.TT,TA
,Tomsk,RU.TO,TOM
,Tula,RU.TL,TUL
,Tuva,RU.TU,TY
,Tver',RU.TV,TVE
,Tyumen',RU.TY,TYU
,Udmurt,RU.UD,UD
,Ul'yanovsk,RU.UL,ULY
,Vladimir,RU.VL,VLA
,Volgograd,RU.VG,VGG
,Vologda,RU.VO,VLG
,Voronezh,RU.VR,VOR
,Yamal-Nenets,RU.YN,YAN
,Yaroslavl',RU.YS,YAR
,Yevrey,RU.YV,YEV
,Crimea,RU.CR,CRI
,Sevastolol',RU.SC,SEV
,Krasnoyarsk,RU.KX,KYA
,Zabaykal'ye,RU.CT,ZAB
,Irkutsk,RU.IR,IRK
,Perm',RU.PE,PER
,Kamchatka,RU.KA,KAM
,Moscow City,RU.MV,MOW
